narrative,sentiment_compound
government estimate contract,0.8807
god continue america,0.891
god bless nation,0.5994
person love family,0.891
constitution prohibit america,0.8225
god grant strong,0.8834
family give afghanistan,0.8807
money amount taxable,0.9442
people promote welfare,0.9843
people establish justice,0.9565
crime add category,-0.9022
homeland attack unit,-0.9042
law enforcement add category,-0.8126
terrorist kill american,-0.9337
saddam hussein use weapon mass destruction,-0.765
terrorist attack country,-0.7964
iraq have weapon mass destruction,-0.765
saddam hussein have weapon mass destruction,-0.765
people kill american,-0.8807
men women fight war,-0.5994
